case_name,target_label,beta,iterations,final_mask_change,runtime_total_seconds,naive_total_energy,graph_cut_total_energy,refined_total_energy,naive_component_count,graph_cut_component_count,refined_component_count,naive_boundary_length,graph_cut_boundary_length,refined_boundary_length,naive_compactness,graph_cut_compactness,refined_compactness,naive_edge_alignment_score,graph_cut_edge_alignment_score,refined_edge_alignment_score,naive_bbox_leakage_ratio,graph_cut_bbox_leakage_ratio,refined_bbox_leakage_ratio,naive_bbox_fill_ratio,graph_cut_bbox_fill_ratio,refined_bbox_fill_ratio,naive_seed_consistency_rate,graph_cut_seed_consistency_rate,refined_seed_consistency_rate,naive_foreground_fraction,graph_cut_foreground_fraction,refined_foreground_fraction
astronaut,astronaut subject,0.0014558041616415328,3.0,0.012112087673611112,0.38700683391653,1307712.9765625,587651.7521972656,591253.8134765625,642.0,5.0,1.0,13340.971788237754,1786.6923881554253,1645.0710678118655,0.00409812106190059,0.1669036765174281,0.19497371507382386,2.1747131338727486,4.545288133456235,4.179214141892258,0.031959064831245804,0.007335078657515507,0.006144466407868728,0.6972426972426973,0.5222743404561586,0.5178442905715633,1.0,1.0,1.0,0.3936292860243056,0.28753662109375,0.2847561306423611
coffee,coffee cup,0.0020704148285374535,3.0,0.021016438802083332,0.17932079220190644,678988.58203125,401058.23974609375,401186.1806640625,304.0,5.0,1.0,3961.014285349873,682.278174593052,629.2426406871193,0.018161992624330773,0.37328993239786273,0.4388987568491062,2.9684760045483736,3.5410539411806146,3.1325190180250475,0.11029282060328101,0.0,0.0,0.7736999539806719,0.5302960576775579,0.5303344071176561,1.0,1.0,1.0,0.23067220052083334,0.14066569010416666,0.14067586263020834
chelsea,cat,0.005473902782597874,3.0,0.009129901960784314,0.24849258200265467,758224.6640625,345832.02685546875,347021.9665527344,145.0,1.0,1.0,9205.026478658692,1086.4497474683058,1067.0710678118655,0.007589874655698967,0.3873051502562839,0.40137889627442297,1.578235100862675,2.5532816730361434,2.5508932055865,0.04185473943373,0.006267179769103903,0.006214083422695153,0.8208343098195453,0.605175934915799,0.6050252770430882,1.0,1.0,1.0,0.522640931372549,0.3715277777777778,0.3714154411764706
